id,cvegeo,nombre_entidad,nombre_municipio,code
1,1001,Aguascalientes,Aguascalientes,AGU
2,1002,Aguascalientes,Asientos,AGU
3,1003,Aguascalientes,Calvillo,AGU
4,1004,Aguascalientes,Cosío,AGU
5,1005,Aguascalientes,Jesús María,AGU
6,1006,Aguascalientes,Pabellón de Arteaga,AGU
7,1007,Aguascalientes,Rincón de Romos,AGU
8,1008,Aguascalientes,San José de Gracia,AGU
9,1009,Aguascalientes,Tepezalá,AGU
10,1010,Aguascalientes,El Llano,AGU
11,1011,Aguascalientes,San Francisco de los Romo,AGU
12,2001,Baja California,Ensenada,BCN
13,2002,Baja California,Mexicali,BCN
14,2003,Baja California,Tecate,BCN
15,2004,Baja California,Tijuana,BCN
16,2005,Baja California,Playas de Rosarito,BCN
17,2006,Baja California,San Quintín,BCN
18,2007,Baja California,San Felipe,BCN
19,3001,Baja California Sur,Comondú,BCS
20,3002,Baja California Sur,Mulegé,BCS
21,3003,Baja California Sur,La Paz,BCS
22,3008,Baja California Sur,Los Cabos,BCS
23,3009,Baja California Sur,Loreto,BCS
24,4001,Campeche,Calkiní,CAM
25,4002,Campeche,Campeche,CAM
26,4003,Campeche,Carmen,CAM
27,4004,Campeche,Champotón,CAM
28,4005,Campeche,Hecelchakán,CAM
29,4006,Campeche,Hopelchén,CAM
30,4007,Campeche,Palizada,CAM
31,4008,Campeche,Tenabo,CAM
32,4009,Campeche,Escárcega,CAM
33,4010,Campeche,Calakmul,CAM
34,4011,Campeche,Candelaria,CAM
35,4012,Campeche,Seybaplaya,CAM
36,4013,Campeche,Dzitbalché,CAM
37,5001,Coahuila de Zaragoza,Abasolo,COA
38,5002,Coahuila de Zaragoza,Acuña,COA
39,5003,Coahuila de Zaragoza,Allende,COA
40,5004,Coahuila de Zaragoza,Arteaga,COA
41,5005,Coahuila de Zaragoza,Candela,COA
42,5006,Coahuila de Zaragoza,Castaños,COA
43,5007,Coahuila de Zaragoza,Cuatro Ciénegas,COA
44,5008,Coahuila de Zaragoza,Escobedo,COA
45,5009,Coahuila de Zaragoza,Francisco I. Madero,COA
46,5010,Coahuila de Zaragoza,Frontera,COA
47,5011,Coahuila de Zaragoza,General Cepeda,COA
48,5012,Coahuila de Zaragoza,Guerrero,COA
49,5013,Coahuila de Zaragoza,Hidalgo,COA
50,5014,Coahuila de Zaragoza,Jiménez,COA
51,5015,Coahuila de Zaragoza,Juárez,COA
52,5016,Coahuila de Zaragoza,Lamadrid,COA
53,5017,Coahuila de Zaragoza,Matamoros,COA
54,5018,Coahuila de Zaragoza,Monclova,COA
55,5019,Coahuila de Zaragoza,Morelos,COA
56,5020,Coahuila de Zaragoza,Múzquiz,COA
57,5021,Coahuila de Zaragoza,Nadadores,COA
58,5022,Coahuila de Zaragoza,Nava,COA
59,5023,Coahuila de Zaragoza,Ocampo,COA
60,5024,Coahuila de Zaragoza,Parras,COA
61,5025,Coahuila de Zaragoza,Piedras Negras,COA
62,5026,Coahuila de Zaragoza,Progreso,COA
63,5027,Coahuila de Zaragoza,Ramos Arizpe,COA
64,5028,Coahuila de Zaragoza,Sabinas,COA
65,5029,Coahuila de Zaragoza,Sacramento,COA
66,5030,Coahuila de Zaragoza,Saltillo,COA
67,5031,Coahuila de Zaragoza,San Buenaventura,COA
68,5032,Coahuila de Zaragoza,San Juan de Sabinas,COA
69,5033,Coahuila de Zaragoza,San Pedro,COA
70,5034,Coahuila de Zaragoza,Sierra Mojada,COA
71,5035,Coahuila de Zaragoza,Torreón,COA
72,5036,Coahuila de Zaragoza,Viesca,COA
73,5037,Coahuila de Zaragoza,Villa Unión,COA
74,5038,Coahuila de Zaragoza,Zaragoza,COA
75,6001,Colima,Armería,COL
76,6002,Colima,Colima,COL
77,6003,Colima,Comala,COL
78,6004,Colima,Coquimatlán,COL
79,6005,Colima,Cuauhtémoc,COL
80,6006,Colima,Ixtlahuacán,COL
81,6007,Colima,Manzanillo,COL
82,6008,Colima,Minatitlán,COL
83,6009,Colima,Tecomán,COL
84,6010,Colima,Villa de Álvarez,COL
85,7001,Chiapas,Acacoyagua,CHP
86,7002,Chiapas,Acala,CHP
87,7003,Chiapas,Acapetahua,CHP
88,7004,Chiapas,Altamirano,CHP
89,7005,Chiapas,Amatán,CHP
90,7006,Chiapas,Amatenango de la Frontera,CHP
91,7007,Chiapas,Amatenango del Valle,CHP
92,7008,Chiapas,Ángel Albino Corzo,CHP
93,7009,Chiapas,Arriaga,CHP
94,7010,Chiapas,Bejucal de Ocampo,CHP
95,7011,Chiapas,Bella Vista,CHP
96,7012,Chiapas,Berriozábal,CHP
97,7013,Chiapas,Bochil,CHP
98,7014,Chiapas,El Bosque,CHP
99,7015,Chiapas,Cacahoatán,CHP
100,7016,Chiapas,Catazajá,CHP
101,7017,Chiapas,Cintalapa de Figueroa,CHP
102,7018,Chiapas,Coapilla,CHP
103,7019,Chiapas,Comitán de Domínguez,CHP
104,7020,Chiapas,La Concordia,CHP
105,7021,Chiapas,Copainalá,CHP
106,7022,Chiapas,Chalchihuitán,CHP
107,7023,Chiapas,Chamula,CHP
108,7024,Chiapas,Chanal,CHP
109,7025,Chiapas,Chapultenango,CHP
110,7026,Chiapas,Chenalhó,CHP
111,7027,Chiapas,Chiapa de Corzo,CHP
112,7028,Chiapas,Chiapilla,CHP
113,7029,Chiapas,Chicoasén,CHP
114,7030,Chiapas,Chicomuselo,CHP
115,7031,Chiapas,Chilón,CHP
116,7032,Chiapas,Escuintla,CHP
117,7033,Chiapas,Francisco León,CHP
118,7034,Chiapas,Frontera Comalapa,CHP
119,7035,Chiapas,Frontera Hidalgo,CHP
120,7036,Chiapas,La Grandeza,CHP
121,7037,Chiapas,Huehuetán,CHP
122,7038,Chiapas,Huixtán,CHP
123,7039,Chiapas,Huitiupán,CHP
124,7040,Chiapas,Huixtla,CHP
125,7041,Chiapas,La Independencia,CHP
126,7042,Chiapas,Ixhuatán,CHP
127,7043,Chiapas,Ixtacomitán,CHP
128,7044,Chiapas,Ixtapa,CHP
129,7045,Chiapas,Ixtapangajoya,CHP
130,7046,Chiapas,Jiquipilas,CHP
131,7047,Chiapas,Jitotol,CHP
132,7048,Chiapas,Juárez,CHP
133,7049,Chiapas,Larráinzar,CHP
134,7050,Chiapas,La Libertad,CHP
135,7051,Chiapas,Mapastepec,CHP
136,7052,Chiapas,Las Margaritas,CHP
137,7053,Chiapas,Mazapa de Madero,CHP
138,7054,Chiapas,Mazatán,CHP
139,7055,Chiapas,Metapa,CHP
140,7056,Chiapas,Mitontic,CHP
141,7057,Chiapas,Motozintla,CHP
142,7058,Chiapas,Nicolás Ruíz,CHP
143,7059,Chiapas,Ocosingo,CHP
144,7060,Chiapas,Ocotepec,CHP
145,7061,Chiapas,Ocozocoautla de Espinosa,CHP
146,7062,Chiapas,Ostuacán,CHP
147,7063,Chiapas,Osumacinta,CHP
148,7064,Chiapas,Oxchuc,CHP
149,7065,Chiapas,Palenque,CHP
150,7066,Chiapas,Pantelhó,CHP
151,7067,Chiapas,Pantepec,CHP
152,7068,Chiapas,Pichucalco,CHP
153,7069,Chiapas,Pijijiapan,CHP
154,7070,Chiapas,El Porvenir,CHP
155,7071,Chiapas,Villa Comaltitlán,CHP
156,7072,Chiapas,Pueblo Nuevo Solistahuacán,CHP
157,7073,Chiapas,Rayón,CHP
158,7074,Chiapas,Reforma,CHP
159,7075,Chiapas,Las Rosas,CHP
160,7076,Chiapas,Sabanilla,CHP
161,7077,Chiapas,Salto de Agua,CHP
162,7078,Chiapas,San Cristóbal de las Casas,CHP
163,7079,Chiapas,San Fernando,CHP
164,7080,Chiapas,Siltepec,CHP
165,7081,Chiapas,Simojovel,CHP
166,7082,Chiapas,Sitalá,CHP
167,7083,Chiapas,Socoltenango,CHP
168,7084,Chiapas,Solosuchiapa,CHP
169,7085,Chiapas,Soyaló,CHP
170,7086,Chiapas,Suchiapa,CHP
171,7087,Chiapas,Suchiate,CHP
172,7088,Chiapas,Sunuapa,CHP
173,7089,Chiapas,Tapachula,CHP
174,7090,Chiapas,Tapalapa,CHP
175,7091,Chiapas,Tapilula,CHP
176,7092,Chiapas,Tecpatán,CHP
177,7093,Chiapas,Tenejapa,CHP
178,7094,Chiapas,Teopisca,CHP
179,7096,Chiapas,Tila,CHP
180,7097,Chiapas,Tonalá,CHP
181,7098,Chiapas,Totolapa,CHP
182,7099,Chiapas,La Trinitaria,CHP
183,7100,Chiapas,Tumbalá,CHP
184,7101,Chiapas,Tuxtla Gutiérrez,CHP
185,7102,Chiapas,Tuxtla Chico,CHP
186,7103,Chiapas,Tuzantán,CHP
187,7104,Chiapas,Tzimol,CHP
188,7105,Chiapas,Unión Juárez,CHP
189,7106,Chiapas,Venustiano Carranza,CHP
190,7107,Chiapas,Villa Corzo,CHP
191,7108,Chiapas,Villaflores,CHP
192,7109,Chiapas,Yajalón,CHP
193,7110,Chiapas,San Lucas,CHP
194,7111,Chiapas,Zinacantán,CHP
195,7112,Chiapas,San Juan Cancuc,CHP
196,7113,Chiapas,Aldama,CHP
197,7114,Chiapas,Benemérito de las Américas,CHP
198,7115,Chiapas,Maravilla Tenejapa,CHP
199,7116,Chiapas,Marqués de Comillas,CHP
200,7117,Chiapas,Montecristo de Guerrero,CHP
201,7118,Chiapas,San Andrés Duraznal,CHP
202,7119,Chiapas,Santiago el Pinar,CHP
203,7120,Chiapas,Capitán Luis Ángel Vidal,CHP
204,7121,Chiapas,Rincón Chamula San Pedro,CHP
205,7122,Chiapas,El Parral,CHP
206,7123,Chiapas,Emiliano Zapata,CHP
207,7124,Chiapas,Mezcalapa,CHP
208,7125,Chiapas,Honduras de la Sierra,CHP
209,8001,Chihuahua,Ahumada,CHH
210,8002,Chihuahua,Aldama,CHH
211,8003,Chihuahua,Allende,CHH
212,8004,Chihuahua,Aquiles Serdán,CHH
213,8005,Chihuahua,Ascensión,CHH
214,8006,Chihuahua,Bachíniva,CHH
215,8007,Chihuahua,Balleza,CHH
216,8008,Chihuahua,Batopilas de Manuel Gómez Morín,CHH
217,8009,Chihuahua,Bocoyna,CHH
218,8010,Chihuahua,Buenaventura,CHH
219,8011,Chihuahua,Camargo,CHH
220,8012,Chihuahua,Carichí,CHH
221,8013,Chihuahua,Casas Grandes,CHH
222,8014,Chihuahua,Coronado,CHH
223,8015,Chihuahua,Coyame del Sotol,CHH
224,8016,Chihuahua,La Cruz,CHH
225,8017,Chihuahua,Cuauhtémoc,CHH
226,8018,Chihuahua,Cusihuiriachi,CHH
227,8019,Chihuahua,Chihuahua,CHH
228,8020,Chihuahua,Chínipas,CHH
229,8021,Chihuahua,Delicias,CHH
230,8022,Chihuahua,Dr. Belisario Domínguez,CHH
231,8023,Chihuahua,Galeana,CHH
232,8024,Chihuahua,Santa Isabel,CHH
233,8025,Chihuahua,Gómez Farías,CHH
234,8026,Chihuahua,Gran Morelos,CHH
235,8027,Chihuahua,Guachochi,CHH
236,8028,Chihuahua,Guadalupe,CHH
237,8029,Chihuahua,Guadalupe y Calvo,CHH
238,8030,Chihuahua,Guazapares,CHH
239,8031,Chihuahua,Guerrero,CHH
240,8032,Chihuahua,Hidalgo del Parral,CHH
241,8033,Chihuahua,Huejotitán,CHH
242,8034,Chihuahua,Ignacio Zaragoza,CHH
243,8035,Chihuahua,Janos,CHH
244,8036,Chihuahua,Jiménez,CHH
245,8037,Chihuahua,Juárez,CHH
246,8038,Chihuahua,Julimes,CHH
247,8039,Chihuahua,López,CHH
248,8040,Chihuahua,Madera,CHH
249,8041,Chihuahua,Maguarichi,CHH
250,8042,Chihuahua,Manuel Benavides,CHH
251,8043,Chihuahua,Matachí,CHH
252,8044,Chihuahua,Matamoros,CHH
253,8045,Chihuahua,Meoqui,CHH
254,8046,Chihuahua,Morelos,CHH
255,8047,Chihuahua,Moris,CHH
256,8048,Chihuahua,Namiquipa,CHH
257,8049,Chihuahua,Nonoava,CHH
258,8050,Chihuahua,Nuevo Casas Grandes,CHH
259,8051,Chihuahua,Ocampo,CHH
260,8052,Chihuahua,Ojinaga,CHH
261,8053,Chihuahua,Praxedis G. Guerrero,CHH
262,8054,Chihuahua,Riva Palacio,CHH
263,8055,Chihuahua,Rosales,CHH
264,8056,Chihuahua,Rosario,CHH
265,8057,Chihuahua,San Francisco de Borja,CHH
266,8058,Chihuahua,San Francisco de Conchos,CHH
267,8059,Chihuahua,San Francisco del Oro,CHH
268,8060,Chihuahua,Santa Bárbara,CHH
269,8061,Chihuahua,Satevó,CHH
270,8062,Chihuahua,Saucillo,CHH
271,8063,Chihuahua,Temósachic,CHH
272,8064,Chihuahua,El Tule,CHH
273,8065,Chihuahua,Urique,CHH
274,8066,Chihuahua,Uruachi,CHH
275,8067,Chihuahua,Valle de Zaragoza,CHH
276,9002,Ciudad de México,Azcapotzalco,CMX
277,9003,Ciudad de México,Coyoacán,CMX
278,9004,Ciudad de México,Cuajimalpa de Morelos,CMX
279,9005,Ciudad de México,Gustavo A. Madero,CMX
280,9006,Ciudad de México,Iztacalco,CMX
281,9007,Ciudad de México,Iztapalapa,CMX
282,9008,Ciudad de México,La Magdalena Contreras,CMX
283,9009,Ciudad de México,Milpa Alta,CMX
284,9010,Ciudad de México,Álvaro Obregón,CMX
285,9011,Ciudad de México,Tláhuac,CMX
286,9012,Ciudad de México,Tlalpan,CMX
287,9013,Ciudad de México,Xochimilco,CMX
288,9014,Ciudad de México,Benito Juárez,CMX
289,9015,Ciudad de México,Cuauhtémoc,CMX
290,9016,Ciudad de México,Miguel Hidalgo,CMX
291,9017,Ciudad de México,Venustiano Carranza,CMX
292,10001,Durango,Canatlán,DUR
293,10002,Durango,Canelas,DUR
294,10003,Durango,Coneto de Comonfort,DUR
295,10004,Durango,Cuencamé,DUR
296,10005,Durango,Durango,DUR
297,10006,Durango,General Simón Bolívar,DUR
298,10007,Durango,Gómez Palacio,DUR
299,10008,Durango,Guadalupe Victoria,DUR
300,10009,Durango,Guanaceví,DUR
301,10010,Durango,Hidalgo,DUR
302,10011,Durango,Indé,DUR
303,10012,Durango,Lerdo,DUR
304,10013,Durango,Mapimí,DUR
305,10014,Durango,Mezquital,DUR
306,10015,Durango,Nazas,DUR
307,10016,Durango,Nombre de Dios,DUR
308,10017,Durango,Ocampo,DUR
309,10018,Durango,El Oro,DUR
310,10019,Durango,Otáez,DUR
311,10020,Durango,Pánuco de Coronado,DUR
312,10021,Durango,Peñón Blanco,DUR
313,10022,Durango,Poanas,DUR
314,10023,Durango,Pueblo Nuevo,DUR
315,10024,Durango,Rodeo,DUR
316,10025,Durango,San Bernardo,DUR
317,10026,Durango,San Dimas,DUR
318,10027,Durango,San Juan de Guadalupe,DUR
319,10028,Durango,San Juan del Río,DUR
320,10029,Durango,San Luis del Cordero,DUR
321,10030,Durango,San Pedro del Gallo,DUR
322,10031,Durango,Santa Clara,DUR
323,10032,Durango,Santiago Papasquiaro,DUR
324,10033,Durango,Súchil,DUR
325,10034,Durango,Tamazula,DUR
326,10035,Durango,Tepehuanes,DUR
327,10036,Durango,Tlahualilo,DUR
328,10037,Durango,Topia,DUR
329,10038,Durango,Vicente Guerrero,DUR
330,10039,Durango,Nuevo Ideal,DUR
331,11001,Guanajuato,Abasolo,GUA
332,11002,Guanajuato,Acámbaro,GUA
333,11003,Guanajuato,San Miguel de Allende,GUA
334,11004,Guanajuato,Apaseo el Alto,GUA
335,11005,Guanajuato,Apaseo el Grande,GUA
336,11006,Guanajuato,Atarjea,GUA
337,11007,Guanajuato,Celaya,GUA
338,11008,Guanajuato,Manuel Doblado,GUA
339,11009,Guanajuato,Comonfort,GUA
340,11010,Guanajuato,Coroneo,GUA
341,11011,Guanajuato,Cortazar,GUA
342,11012,Guanajuato,Cuerámaro,GUA
343,11013,Guanajuato,Doctor Mora,GUA
344,11014,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,GUA
345,11015,Guanajuato,Guanajuato,GUA
346,11016,Guanajuato,Huanímaro,GUA
347,11017,Guanajuato,Irapuato,GUA
348,11018,Guanajuato,Jaral del Progreso,GUA
349,11019,Guanajuato,Jerécuaro,GUA
350,11020,Guanajuato,León,GUA
351,11021,Guanajuato,Moroleón,GUA
352,11022,Guanajuato,Ocampo,GUA
353,11023,Guanajuato,Pénjamo,GUA
354,11024,Guanajuato,Pueblo Nuevo,GUA
355,11025,Guanajuato,Purísima del Rincón,GUA
356,11026,Guanajuato,Romita,GUA
357,11027,Guanajuato,Salamanca,GUA
358,11028,Guanajuato,Salvatierra,GUA
359,11029,Guanajuato,San Diego de la Unión,GUA
360,11030,Guanajuato,San Felipe,GUA
361,11031,Guanajuato,San Francisco del Rincón,GUA
362,11032,Guanajuato,San José Iturbide,GUA
363,11033,Guanajuato,San Luis de la Paz,GUA
364,11034,Guanajuato,Santa Catarina,GUA
365,11035,Guanajuato,Santa Cruz de Juventino Rosas,GUA
366,11036,Guanajuato,Santiago Maravatío,GUA
367,11037,Guanajuato,Silao de la Victoria,GUA
368,11038,Guanajuato,Tarandacuao,GUA
369,11039,Guanajuato,Tarimoro,GUA
370,11040,Guanajuato,Tierra Blanca,GUA
371,11041,Guanajuato,Uriangato,GUA
372,11042,Guanajuato,Valle de Santiago,GUA
373,11043,Guanajuato,Victoria,GUA
374,11044,Guanajuato,Villagrán,GUA
375,11045,Guanajuato,Xichú,GUA
376,11046,Guanajuato,Yuriria,GUA
377,12001,Guerrero,Acapulco de Juárez,GRO
378,12002,Guerrero,Ahuacuotzingo,GRO
379,12003,Guerrero,Ajuchitlán del Progreso,GRO
380,12004,Guerrero,Alcozauca de Guerrero,GRO
381,12005,Guerrero,Alpoyeca,GRO
382,12006,Guerrero,Apaxtla de Castrejón,GRO
383,12007,Guerrero,Arcelia,GRO
384,12008,Guerrero,Atenango del Río,GRO
385,12009,Guerrero,Atlamajalcingo del Monte,GRO
386,12010,Guerrero,Atlixtac,GRO
387,12011,Guerrero,Atoyac de Álvarez,GRO
388,12012,Guerrero,Ayutla de los Libres,GRO
389,12013,Guerrero,Azoyú,GRO
390,12014,Guerrero,Benito Juárez,GRO
391,12015,Guerrero,Buenavista de Cuéllar,GRO
392,12016,Guerrero,Coahuayutla de José María Izazaga,GRO
393,12017,Guerrero,Cocula,GRO
394,12018,Guerrero,Copala,GRO
395,12019,Guerrero,Copalillo,GRO
396,12020,Guerrero,Copanatoyac,GRO
397,12021,Guerrero,Coyuca de Benítez,GRO
398,12022,Guerrero,Coyuca de Catalán,GRO
399,12023,Guerrero,Cuajinicuilapa,GRO
400,12024,Guerrero,Cualác,GRO
401,12025,Guerrero,Cuautepec,GRO
402,12026,Guerrero,Cuetzala del Progreso,GRO
403,12027,Guerrero,Cutzamala de Pinzón,GRO
404,12028,Guerrero,Chilapa de Álvarez,GRO
405,12029,Guerrero,Chilpancingo de los Bravo,GRO
406,12030,Guerrero,Florencio Villarreal,GRO
407,12031,Guerrero,General Canuto A. Neri,GRO
408,12032,Guerrero,General Heliodoro Castillo,GRO
409,12033,Guerrero,Huamuxtitlán,GRO
410,12034,Guerrero,Huitzuco de los Figueroa,GRO
411,12035,Guerrero,Iguala de la Independencia,GRO
412,12036,Guerrero,Igualapa,GRO
413,12037,Guerrero,Ixcateopan de Cuauhtémoc,GRO
414,12038,Guerrero,Zihuatanejo de Azueta,GRO
415,12039,Guerrero,Juan R. Escudero,GRO
416,12040,Guerrero,Leonardo Bravo,GRO
417,12041,Guerrero,Malinaltepec,GRO
418,12042,Guerrero,Mártir de Cuilapan,GRO
419,12043,Guerrero,Metlatónoc,GRO
420,12044,Guerrero,Mochitlán,GRO
421,12045,Guerrero,Olinalá,GRO
422,12046,Guerrero,Ometepec,GRO
423,12047,Guerrero,Pedro Ascencio Alquisiras,GRO
424,12048,Guerrero,Petatlán,GRO
425,12049,Guerrero,Pilcaya,GRO
426,12050,Guerrero,Pungarabato,GRO
427,12051,Guerrero,Quechultenango,GRO
428,12052,Guerrero,San Luis Acatlán,GRO
429,12053,Guerrero,San Marcos,GRO
430,12054,Guerrero,San Miguel Totolapan,GRO
431,12055,Guerrero,Taxco de Alarcón,GRO
432,12056,Guerrero,Tecoanapa,GRO
433,12057,Guerrero,Técpan de Galeana,GRO
434,12058,Guerrero,Teloloapan,GRO
435,12059,Guerrero,Tepecoacuilco de Trujano,GRO
436,12060,Guerrero,Tetipac,GRO
